model	options	test	p_value	effect_size	num_targ1	num_targ2	num_attr1	num_attr2
bert	version=bert-base-cased	angry_black_woman_stereotype	0.68641	-0.18128695436373526	15	15	18	18
bert	version=bert-base-cased	angry_black_woman_stereotype_b	0.7142857142857143	-0.38453271197985944	4	4	18	18
bert	version=bert-base-cased	heilman_double_bind_competent_1	0.4205905205905206	0.0996610582467627	8	8	10	10
bert	version=bert-base-cased	heilman_double_bind_competent_1-	0.972027972027972	-0.9468087981956204	8	8	10	10
bert	version=bert-base-cased	heilman_double_bind_competent_1+3-	0.9766899766899767	-0.9818148839263727	8	8	10	10
bert	version=bert-base-cased	heilman_double_bind_competent_one_sentence	0.10567210567210568	0.6465469963997766	8	8	10	10
bert	version=bert-base-cased	heilman_double_bind_competent_one_word	0.5412587412587413	-0.051236309940245965	8	8	10	10
bert	version=bert-base-cased	heilman_double_bind_likable_1	0.3487179487179487	0.20345141130098562	8	8	8	8
bert	version=bert-base-cased	heilman_double_bind_likable_1-	0.8574980574980575	-0.5626012189232564	8	8	8	8
bert	version=bert-base-cased	heilman_double_bind_likable_1+3-	0.7986790986790987	-0.4362463194015714	8	8	8	8
bert	version=bert-base-cased	heilman_double_bind_likable_one_sentence	0.7436674436674436	-0.3457501668505437	8	8	8	8
bert	version=bert-base-cased	heilman_double_bind_likable_one_word	0.4275835275835276	0.09562330088169152	8	8	8	8
bert	version=bert-base-cased	sent-angry_black_woman_stereotype	0.00178	0.3768508899135055	120	120	54	54
bert	version=bert-base-cased	sent-angry_black_woman_stereotype_b	0.11844	0.23365941294028958	52	52	54	54
bert	version=bert-base-cased	sent-heilman_double_bind_competent_one_word	0.65238	-0.06869002193057899	64	64	30	30
bert	version=bert-base-cased	sent-heilman_double_bind_likable_one_word	0.55559	-0.0245730061224566	64	64	24	24
bert	version=bert-base-cased	sent-weat10	0.22809	0.13837955186518766	64	64	40	47
bert	version=bert-base-cased	sent-weat1	3e-05	0.2980710615313561	350	350	215	250
bert	version=bert-base-cased	sent-weat2	0.00389	0.2078534895344563	330	330	215	250
bert	version=bert-base-cased	sent-weat3	0.40328	0.02128610764290923	256	256	215	249
bert	version=bert-base-cased	sent-weat3b	0.97988	-0.20786289242849793	195	195	215	249
bert	version=bert-base-cased	sent-weat4	0.41042	0.028834326959727576	128	128	215	249
bert	version=bert-base-cased	sent-weat5	0.96428	-0.22420956432018127	128	128	40	47
bert	version=bert-base-cased	sent-weat5b	0.9998	-0.34343419120211205	195	195	40	47
bert	version=bert-base-cased	sent-weat6	0.97362	-0.33726183694407635	64	64	101	112
bert	version=bert-base-cased	sent-weat6b	0.11317	0.1918782652225347	80	80	101	112
bert	version=bert-base-cased	sent-weat7	0.0421	0.28711212095170463	72	72	80	80
bert	version=bert-base-cased	sent-weat7b	0.00096	0.5113603597683516	72	72	64	64
bert	version=bert-base-cased	sent-weat8	0.05711	0.2988540090063949	56	56	80	80
bert	version=bert-base-cased	sent-weat8b	0.20854	0.1552852402297529	56	56	64	64
bert	version=bert-base-cased	sent-weat9	0.87587	-0.391355142680627	18	18	21	23
bert	version=bert-base-cased	weat10	0.2584304584304584	0.3605209161353511	8	8	8	8
bert	version=bert-base-cased	weat1	0.3951	0.07706905096706573	25	25	25	25
bert	version=bert-base-cased	weat2	0.00012	0.9609164582422074	25	25	25	25
bert	version=bert-base-cased	weat3	0.39734	0.0663571331137143	32	32	25	25
bert	version=bert-base-cased	weat3b	0.30269	0.1945311042167991	15	15	25	25
bert	version=bert-base-cased	weat4	0.12163	0.41632302228707163	16	16	25	25
bert	version=bert-base-cased	weat5	0.45001	0.046385716460312774	16	16	8	8
bert	version=bert-base-cased	weat5b	0.4101	0.09744901615316849	15	15	8	8
bert	version=bert-base-cased	weat6	0.4843045843045843	0.018928411880325485	8	8	8	8
bert	version=bert-base-cased	weat6b	0.6344211344211345	-0.0675300082529191	8	8	8	8
bert	version=bert-base-cased	weat7	0.896969696969697	-0.6335666019500177	8	8	8	8
bert	version=bert-base-cased	weat7b	0.26495726495726496	0.3193755975701596	8	8	8	8
bert	version=bert-base-cased	weat8	0.5549339549339549	-0.05549328906784987	8	8	8	8
bert	version=bert-base-cased	weat8b	0.4818958818958819	0.01960396351989553	8	8	8	8
bert	version=bert-base-cased	weat9	0.01406926406926407	1.2141263564675024	6	6	7	7
bert	version=bert-base-uncased	angry_black_woman_stereotype	0.96063	-0.6430192610071515	15	15	18	18
bert	version=bert-base-uncased	angry_black_woman_stereotype_b	0.1	1.0204684388287217	4	4	18	18
bert	version=bert-base-uncased	heilman_double_bind_competent_1-	0.0008547008547008547	1.4632324775085412	8	8	10	10
bert	version=bert-base-uncased	heilman_double_bind_competent_1	0.15804195804195803	0.5125974948196548	8	8	10	10
bert	version=bert-base-uncased	heilman_double_bind_competent_1+3-	0.004428904428904429	1.2416117847265167	8	8	10	10
bert	version=bert-base-uncased	heilman_double_bind_competent_one_sentence	0.755089355089355	-0.3553555494945512	8	8	10	10
bert	version=bert-base-uncased	heilman_double_bind_competent_one_word	0.72004662004662	-0.29949216200657314	8	8	10	10
bert	version=bert-base-uncased	heilman_double_bind_likable_1	0.34506604506604505	0.2148853015036869	8	8	8	8
bert	version=bert-base-uncased	heilman_double_bind_likable_1-	1.0	-1.763142474193787	8	8	8	8
bert	version=bert-base-uncased	heilman_double_bind_likable_1+3-	1.0	-1.8360699440204375	8	8	8	8
bert	version=bert-base-uncased	heilman_double_bind_likable_one_sentence	0.5794871794871795	-0.10386028505889625	8	8	8	8
bert	version=bert-base-uncased	heilman_double_bind_likable_one_word	0.3153846153846154	0.24866435156416888	8	8	8	8
bert	version=bert-base-uncased	sent-angry_black_woman_stereotype	0.94334	-0.2031909093964994	120	120	54	54
bert	version=bert-base-uncased	sent-angry_black_woman_stereotype_b	0.47936	0.010178136409901341	52	52	54	54
bert	version=bert-base-uncased	sent-heilman_double_bind_competent_one_word	0.09713	0.2294566083864329	64	64	30	30
bert	version=bert-base-uncased	sent-heilman_double_bind_likable_one_word	0.30494	0.09317386247657916	64	64	24	24
bert	version=bert-base-uncased	sent-weat10	0.00165	0.5108394389822396	64	64	40	47
bert	version=bert-base-uncased	sent-weat1	0.00034	0.2603067886157313	350	350	215	250
bert	version=bert-base-uncased	sent-weat2	0.02994	0.14610243675933174	330	330	215	250
bert	version=bert-base-uncased	sent-weat3	1e-05	0.3812570166353222	256	256	215	249
bert	version=bert-base-uncased	sent-weat3b	0.13286	0.11347301258653429	195	195	215	249
bert	version=bert-base-uncased	sent-weat4	0.03777	0.22140924462379988	128	128	215	249
bert	version=bert-base-uncased	sent-weat5	0.01161	0.285797288994669	128	128	40	47
bert	version=bert-base-uncased	sent-weat5b	0.10833	0.12480147722865925	195	195	40	47
bert	version=bert-base-uncased	sent-weat6	0.1037	0.2227788569730572	64	64	101	112
bert	version=bert-base-uncased	sent-weat6b	0.11703	0.18735618097477663	80	80	101	112
bert	version=bert-base-uncased	sent-weat7	0.23843	0.11891331973689129	72	72	80	80
bert	version=bert-base-uncased	sent-weat7b	0.92546	-0.24118037484733668	72	72	64	64
bert	version=bert-base-uncased	sent-weat8	0.93971	-0.2947294002633225	56	56	80	80
bert	version=bert-base-uncased	sent-weat8b	0.57572	-0.03630525663752701	56	56	64	64
bert	version=bert-base-uncased	sent-weat9	0.06374	0.5136363823684401	18	18	21	23
bert	version=bert-base-uncased	weat10	0.4705516705516706	0.03563099084384114	8	8	8	8
bert	version=bert-base-uncased	weat1	0.07723	0.4059129058098559	25	25	25	25
bert	version=bert-base-uncased	weat2	0.0086	0.664457422523408	25	25	25	25
bert	version=bert-base-uncased	weat3	0.01415	0.549202345255318	32	32	25	25
bert	version=bert-base-uncased	weat3b	0.30332	0.19226590744096517	15	15	25	25
bert	version=bert-base-uncased	weat4	0.01128	0.8032004944108357	16	16	25	25
bert	version=bert-base-uncased	weat5	0.96687	-0.6474813628866987	16	16	8	8
bert	version=bert-base-uncased	weat5b	0.22981	0.2787195749525792	15	15	8	8
bert	version=bert-base-uncased	weat6	0.46402486402486404	0.04634893276452218	8	8	8	8
bert	version=bert-base-uncased	weat6b	0.8627816627816628	-0.5717890625626914	8	8	8	8
bert	version=bert-base-uncased	weat7	0.3411810411810412	0.2157054415685786	8	8	8	8
bert	version=bert-base-uncased	weat7b	0.002797202797202797	1.2924387821871592	8	8	8	8
bert	version=bert-base-uncased	weat8	0.448018648018648	0.06646839232640012	8	8	8	8
bert	version=bert-base-uncased	weat8b	0.5581196581196581	-0.09464356653680457	8	8	8	8
bert	version=bert-base-uncased	weat9	0.21536796536796537	0.4750296451623502	6	6	7	7
bert	version=bert-large-cased	angry_black_woman_stereotype	0.80693	-0.32043996246275813	15	15	18	18
bert	version=bert-large-cased	angry_black_woman_stereotype_b	0.24285714285714285	0.6083812725238024	4	4	18	18
bert	version=bert-large-cased	heilman_double_bind_competent_1-	0.279020979020979	0.30333540044476404	8	8	10	10
bert	version=bert-large-cased	heilman_double_bind_competent_1	0.6166278166278166	-0.1557847188966124	8	8	10	10
bert	version=bert-large-cased	heilman_double_bind_competent_1+3-	0.05112665112665113	0.8252048419177809	8	8	10	10
bert	version=bert-large-cased	heilman_double_bind_competent_one_sentence	0.007459207459207459	1.1663325878087887	8	8	10	10
bert	version=bert-large-cased	heilman_double_bind_competent_one_word	0.9446775446775447	-0.8056443084053099	8	8	10	10
bert	version=bert-large-cased	heilman_double_bind_likable_1-	0.1428127428127428	0.54328729102868	8	8	8	8
bert	version=bert-large-cased	heilman_double_bind_likable_1	0.7159285159285159	-0.2938084086889891	8	8	8	8
bert	version=bert-large-cased	heilman_double_bind_likable_1+3-	0.9392385392385393	-0.7677918077182782	8	8	8	8
bert	version=bert-large-cased	heilman_double_bind_likable_one_sentence	0.022222222222222223	0.9851801028184565	8	8	8	8
bert	version=bert-large-cased	heilman_double_bind_likable_one_word	0.8597513597513597	-0.5508549730036664	8	8	8	8
bert	version=bert-large-cased	sent-angry_black_woman_stereotype	0.91107	-0.17476389143236876	120	120	54	54
bert	version=bert-large-cased	sent-angry_black_woman_stereotype_b	0.92966	-0.2880643862357131	52	52	54	54
bert	version=bert-large-cased	sent-heilman_double_bind_competent_one_word	0.01393	0.3875193428552761	64	64	30	30
bert	version=bert-large-cased	sent-heilman_double_bind_likable_one_word	0.97832	-0.35478314671119093	64	64	24	24
bert	version=bert-large-cased	sent-weat10	0.22768	0.13078541204207592	64	64	40	47
bert	version=bert-large-cased	sent-weat1	1e-05	0.6246818299936401	350	350	215	250
bert	version=bert-large-cased	sent-weat2	0.00267	0.21590610445334357	330	330	215	250
bert	version=bert-large-cased	sent-weat3	0.29892	0.04621910912655084	256	256	215	249
bert	version=bert-large-cased	sent-weat3b	0.97731	-0.20305746705462288	195	195	215	249
bert	version=bert-large-cased	sent-weat4	0.6098	-0.0347655140091202	128	128	215	249
bert	version=bert-large-cased	sent-weat5	0.27727	0.07383501180030796	128	128	40	47
bert	version=bert-large-cased	sent-weat5b	0.88225	-0.12089540718954349	195	195	40	47
bert	version=bert-large-cased	sent-weat6	0.32978	0.07824117828307758	64	64	101	112
bert	version=bert-large-cased	sent-weat6b	0.82523	-0.14850689374115328	80	80	101	112
bert	version=bert-large-cased	sent-weat7	1e-05	0.9163228066454007	72	72	80	80
bert	version=bert-large-cased	sent-weat7b	0.96057	-0.2929746618866639	72	72	64	64
bert	version=bert-large-cased	sent-weat8	0.14465	0.2010475774571668	56	56	80	80
bert	version=bert-large-cased	sent-weat8b	0.75438	-0.13108848079169227	56	56	64	64
bert	version=bert-large-cased	sent-weat9	0.47556	0.023203738000697468	18	18	21	23
bert	version=bert-large-cased	weat10	0.8355866355866356	-0.5026122017270593	8	8	8	8
bert	version=bert-large-cased	weat1	0.21798	0.22264137372346646	25	25	25	25
bert	version=bert-large-cased	weat2	0.06005	0.43832220245393594	25	25	25	25
bert	version=bert-large-cased	weat3	0.66728	-0.10700720396493796	32	32	25	25
bert	version=bert-large-cased	weat3b	0.66847	-0.16467375691773023	15	15	25	25
bert	version=bert-large-cased	weat4	0.05119	0.5839736481541786	16	16	25	25
bert	version=bert-large-cased	weat5	0.04434	0.6014080880874422	16	16	8	8
bert	version=bert-large-cased	weat5b	0.75678	-0.26001192101577575	15	15	8	8
bert	version=bert-large-cased	weat6	0.33815073815073815	0.2118761909664055	8	8	8	8
bert	version=bert-large-cased	weat6b	0.8514374514374514	-0.5314500567625848	8	8	8	8
bert	version=bert-large-cased	weat7	0.3856254856254856	0.21185452939359312	8	8	8	8
bert	version=bert-large-cased	weat7b	0.7037296037296037	-0.287717475854988	8	8	8	8
bert	version=bert-large-cased	weat8	0.19968919968919968	0.4272372209450997	8	8	8	8
bert	version=bert-large-cased	weat8b	0.7512820512820513	-0.33712985741013474	8	8	8	8
bert	version=bert-large-cased	weat9	0.4935064935064935	0.014938599870585326	6	6	7	7
bert	version=bert-large-uncased	angry_black_woman_stereotype	0.09831	0.4756156312816908	15	15	18	18
bert	version=bert-large-uncased	angry_black_woman_stereotype_b	0.7285714285714285	-0.5399215691821712	4	4	18	18
bert	version=bert-large-uncased	heilman_double_bind_competent_1	0.20388500388500388	0.42745272969825543	8	8	10	10
bert	version=bert-large-uncased	heilman_double_bind_competent_1-	0.9987567987567988	-1.4341587358409107	8	8	10	10
bert	version=bert-large-uncased	heilman_double_bind_competent_1+3-	1.0	-1.8213964557014553	8	8	10	10
bert	version=bert-large-uncased	heilman_double_bind_competent_one_sentence	0.47606837606837604	0.226369337204616	8	8	10	10
bert	version=bert-large-uncased	heilman_double_bind_competent_one_word	0.9606837606837607	-0.8778147290026244	8	8	10	10
bert	version=bert-large-uncased	heilman_double_bind_likable_1	0.05244755244755245	0.8135373819651907	8	8	8	8
bert	version=bert-large-uncased	heilman_double_bind_likable_1-	1.0	-1.847363137599446	8	8	8	8
bert	version=bert-large-uncased	heilman_double_bind_likable_1+3-	1.0	-1.81392613358984	8	8	8	8
bert	version=bert-large-uncased	heilman_double_bind_likable_one_sentence	0.029292929292929294	0.9309461722739364	8	8	8	8
bert	version=bert-large-uncased	heilman_double_bind_likable_one_word	0.44545454545454544	0.220376407187866	8	8	8	8
bert	version=bert-large-uncased	sent-angry_black_woman_stereotype	0.62997	-0.0435047092398624	120	120	54	54
bert	version=bert-large-uncased	sent-angry_black_woman_stereotype_b	0.04538	0.332714861485126	52	52	54	54
bert	version=bert-large-uncased	sent-heilman_double_bind_competent_one_word	0.76684	-0.12926599564924554	64	64	30	30
bert	version=bert-large-uncased	sent-heilman_double_bind_likable_one_word	0.15402	0.17988613606469106	64	64	24	24
bert	version=bert-large-uncased	sent-weat10	0.4236	0.0341581264271246	64	64	40	47
bert	version=bert-large-uncased	sent-weat1	0.22087	0.058333899733810896	350	350	215	250
bert	version=bert-large-uncased	sent-weat2	0.93657	-0.1189735618262252	330	330	215	250
bert	version=bert-large-uncased	sent-weat3	0.04774	0.14741175357493416	256	256	215	249
bert	version=bert-large-uncased	sent-weat3b	0.00019	0.3561831736768467	195	195	215	249
bert	version=bert-large-uncased	sent-weat4	0.12222	0.14426076962889542	128	128	215	249
bert	version=bert-large-uncased	sent-weat5	0.74859	-0.08392006685159094	128	128	40	47
bert	version=bert-large-uncased	sent-weat5b	1e-05	0.4388665596483352	195	195	40	47
bert	version=bert-large-uncased	sent-weat6	0.39107	0.05081085691886314	64	64	101	112
bert	version=bert-large-uncased	sent-weat6b	0.5311	-0.012346770543519663	80	80	101	112
bert	version=bert-large-uncased	sent-weat7	0.19253	0.1438555758729831	72	72	80	80
bert	version=bert-large-uncased	sent-weat7b	0.49903	-0.0001440846238053655	72	72	64	64
bert	version=bert-large-uncased	sent-weat8	0.58911	-0.04297170657007151	56	56	80	80
bert	version=bert-large-uncased	sent-weat8b	0.65146	-0.071891626037406	56	56	64	64
bert	version=bert-large-uncased	sent-weat9	0.15525	0.31248278345728114	18	18	21	23
bert	version=bert-large-uncased	weat10	0.7068376068376069	-0.3180906271492228	8	8	8	8
bert	version=bert-large-uncased	weat1	0.78664	-0.22769199629411824	25	25	25	25
bert	version=bert-large-uncased	weat2	0.99908	-0.8268971477188771	25	25	25	25
bert	version=bert-large-uncased	weat3	0.18854	0.2222755010892408	32	32	25	25
bert	version=bert-large-uncased	weat3b	0.99733	-0.9779896077696865	15	15	25	25
bert	version=bert-large-uncased	weat4	0.10984	0.4432339820752719	16	16	25	25
bert	version=bert-large-uncased	weat5	0.68735	-0.17998195299657482	16	16	8	8
bert	version=bert-large-uncased	weat5b	0.09704	0.477738052759119	15	15	8	8
bert	version=bert-large-uncased	weat6	0.1128982128982129	0.6301080166400771	8	8	8	8
bert	version=bert-large-uncased	weat6b	0.07575757575757576	0.6997039130843795	8	8	8	8
bert	version=bert-large-uncased	weat7	0.10971250971250972	0.727514811514015	8	8	8	8
bert	version=bert-large-uncased	weat7b	0.1515928515928516	0.6797600809652115	8	8	8	8
bert	version=bert-large-uncased	weat8	0.25252525252525254	0.35859484432661737	8	8	8	8
bert	version=bert-large-uncased	weat8b	0.24825174825174826	0.3530947802400093	8	8	8	8
bert	version=bert-large-uncased	weat9	0.5032467532467533	-0.0032752584852857422	6	6	7	7
bow		angry_black_woman_stereotype	0.00072	1.095344821867769	15	15	18	18
bow		angry_black_woman_stereotype_b	0.5142857142857142	-0.037503015011628595	4	4	18	18
bow		heilman_double_bind_competent_1	0.10567210567210568	0.6645681599336647	8	8	10	10
bow		heilman_double_bind_competent_1-	0.13317793317793317	0.5901220227354127	8	8	10	10
bow		heilman_double_bind_competent_1+3-	0.2066045066045066	0.43379062907695487	8	8	10	10
bow		heilman_double_bind_competent_one_sentence	0.048873348873348876	0.8354037000382043	8	8	10	10
bow		heilman_double_bind_competent_one_word	7.77000777000777e-05	1.6241440674652927	8	8	10	10
bow		heilman_double_bind_likable_1	0.13364413364413363	0.5853680463619089	8	8	8	8
bow		heilman_double_bind_likable_1-	7.77000777000777e-05	1.5880126660067504	8	8	8	8
bow		heilman_double_bind_likable_1+3-	0.0001554001554001554	1.472927456058595	8	8	8	8
bow		heilman_double_bind_likable_one_sentence	0.16713286713286712	0.5060948051385065	8	8	8	8
bow		heilman_double_bind_likable_one_word	0.0009324009324009324	1.2860305321865617	8	8	8	8
bow		sent-angry_black_woman_stereotype	1e-05	0.6168527559075829	120	120	54	54
bow		sent-angry_black_woman_stereotype_b	0.16582	0.1907390117986805	52	52	54	54
bow		sent-heilman_double_bind_competent_one_word	1e-05	0.7931917100072182	64	64	30	30
bow		sent-heilman_double_bind_likable_one_word	4e-05	0.6897390121499783	64	64	24	24
bow		sent-weat1	1e-05	1.555480581083209	350	350	215	250
bow		sent-weat10	0.00229	0.49575305034028894	64	64	40	47
bow		sent-weat2	1e-05	1.2749452829222945	330	330	215	250
bow		sent-weat3	1e-05	0.5201126169859963	256	256	215	249
bow		sent-weat3b	0.08636	0.13837417568672844	195	195	215	249
bow		sent-weat4	1e-05	0.5497548697185468	128	128	215	249
bow		sent-weat5	0.00155	0.36452593756925844	128	128	40	47
bow		sent-weat5b	0.68738	-0.049296816559202275	195	195	40	47
bow		sent-weat6	1e-05	1.743843134701947	64	64	101	112
bow		sent-weat6b	0.00606	0.396204812662749	80	80	101	112
bow		sent-weat7	1e-05	0.7730903202639864	72	72	80	80
bow		sent-weat7b	1e-05	1.5092768427319647	72	72	64	64
bow		sent-weat8	1e-05	1.012025012467251	56	56	80	80
bow		sent-weat8b	1e-05	1.394594810344009	56	56	64	64
bow		sent-weat9	0.12661	0.3884405735154991	18	18	21	23
bow		weat1	1e-05	1.5043154927647697	25	25	25	25
bow		weat10	0.005128205128205128	1.2128907133270523	8	8	8	8
bow		weat2	1e-05	1.5339887035184903	25	25	25	25
bow		weat3	1e-05	1.4052075375830486	32	32	25	25
